sessionDate,seasonName,metric,category,value
2/7/2023,2023/2024,bio_baseline_completeness,bio,0
2/7/2023,2023/2024,bio_baseline_composite,bio,
2/7/2023,2023/2024,emboss_baseline_score,total,
2/7/2023,2023/2024,msk_joint_range_baseline_completeness,msk_joint_range,0
2/7/2023,2023/2024,msk_joint_range_baseline_composite,msk_joint_range,
2/7/2023,2023/2024,msk_load_tolerance_baseline_completeness,msk_load_tolerance,0
2/7/2023,2023/2024,msk_load_tolerance_baseline_composite,msk_load_tolerance,
2/7/2023,2023/2024,sleep_baseline_completeness,sleep,0
2/7/2023,2023/2024,sleep_baseline_composite,sleep,
2/7/2023,2023/2024,soreness_baseline_completeness,soreness,0
2/7/2023,2023/2024,soreness_baseline_composite,soreness,
2/7/2023,2023/2024,subjective_baseline_completeness,subjective,0
2/7/2023,2023/2024,subjective_baseline_composite,subjective,
3/7/2023,2023/2024,bio_baseline_completeness,bio,0
3/7/2023,2023/2024,bio_baseline_composite,bio,
3/7/2023,2023/2024,emboss_baseline_score,total,
3/7/2023,2023/2024,msk_joint_range_baseline_completeness,msk_joint_range,0
3/7/2023,2023/2024,msk_joint_range_baseline_composite,msk_joint_range,
3/7/2023,2023/2024,msk_load_tolerance_baseline_completeness,msk_load_tolerance,0
3/7/2023,2023/2024,msk_load_tolerance_baseline_composite,msk_load_tolerance,
3/7/2023,2023/2024,sleep_baseline_completeness,sleep,0
3/7/2023,2023/2024,sleep_baseline_composite,sleep,
3/7/2023,2023/2024,soreness_baseline_completeness,soreness,0
3/7/2023,2023/2024,soreness_baseline_composite,soreness,
3/7/2023,2023/2024,subjective_baseline_completeness,subjective,0
3/7/2023,2023/2024,subjective_baseline_composite,subjective,
4/7/2023,2023/2024,bio_baseline_completeness,bio,0
4/7/2023,2023/2024,bio_baseline_composite,bio,
4/7/2023,2023/2024,emboss_baseline_score,total,0
4/7/2023,2023/2024,msk_joint_range_baseline_completeness,msk_joint_range,0
4/7/2023,2023/2024,msk_joint_range_baseline_composite,msk_joint_range,
4/7/2023,2023/2024,msk_load_tolerance_baseline_completeness,msk_load_tolerance,0
4/7/2023,2023/2024,msk_load_tolerance_baseline_composite,msk_load_tolerance,
4/7/2023,2023/2024,sleep_baseline_completeness,sleep,0
4/7/2023,2023/2024,sleep_baseline_composite,sleep,
4/7/2023,2023/2024,soreness_baseline_completeness,soreness,0.032258065
4/7/2023,2023/2024,soreness_baseline_composite,soreness,0
4/7/2023,2023/2024,subjective_baseline_completeness,subjective,0
4/7/2023,2023/2024,subjective_baseline_composite,subjective,
5/7/2023,2023/2024,bio_baseline_completeness,bio,0
5/7/2023,2023/2024,bio_baseline_composite,bio,
5/7/2023,2023/2024,emboss_baseline_score,total,0
5/7/2023,2023/2024,msk_joint_range_baseline_completeness,msk_joint_range,0
5/7/2023,2023/2024,msk_joint_range_baseline_composite,msk_joint_range,
5/7/2023,2023/2024,msk_load_tolerance_baseline_completeness,msk_load_tolerance,0
5/7/2023,2023/2024,msk_load_tolerance_baseline_composite,msk_load_tolerance,
5/7/2023,2023/2024,sleep_baseline_completeness,sleep,0
5/7/2023,2023/2024,sleep_baseline_composite,sleep,
5/7/2023,2023/2024,soreness_baseline_completeness,soreness,0.064516129
5/7/2023,2023/2024,soreness_baseline_composite,soreness,0
5/7/2023,2023/2024,subjective_baseline_completeness,subjective,0.010752688
5/7/2023,2023/2024,subjective_baseline_composite,subjective,0
6/7/2023,2023/2024,bio_baseline_completeness,bio,0
6/7/2023,2023/2024,bio_baseline_composite,bio,
6/7/2023,2023/2024,emboss_baseline_score,total,0
6/7/2023,2023/2024,msk_joint_range_baseline_completeness,msk_joint_range,0
6/7/2023,2023/2024,msk_joint_range_baseline_composite,msk_joint_range,
6/7/2023,2023/2024,msk_load_tolerance_baseline_completeness,msk_load_tolerance,0
6/7/2023,2023/2024,msk_load_tolerance_baseline_composite,msk_load_tolerance,
6/7/2023,2023/2024,sleep_baseline_completeness,sleep,0
6/7/2023,2023/2024,sleep_baseline_composite,sleep,
6/7/2023,2023/2024,soreness_baseline_completeness,soreness,0.032258065
6/7/2023,2023/2024,soreness_baseline_composite,soreness,0
6/7/2023,2023/2024,subjective_baseline_completeness,subjective,0.075268817
6/7/2023,2023/2024,subjective_baseline_composite,subjective,0
7/7/2023,2023/2024,bio_baseline_completeness,bio,0
7/7/2023,2023/2024,bio_baseline_composite,bio,
7/7/2023,2023/2024,emboss_baseline_score,total,-0.18
7/7/2023,2023/2024,msk_joint_range_baseline_completeness,msk_joint_range,0
7/7/2023,2023/2024,msk_joint_range_baseline_composite,msk_joint_range,
7/7/2023,2023/2024,msk_load_tolerance_baseline_completeness,msk_load_tolerance,0
7/7/2023,2023/2024,msk_load_tolerance_baseline_composite,msk_load_tolerance,
7/7/2023,2023/2024,sleep_baseline_completeness,sleep,0
7/7/2023,2023/2024,sleep_baseline_composite,sleep,
