testDate,expression,movement,quality,benchmarkPct
3/7/2023,isometric,upper body,pull,
4/7/2023,dynamic,agility,acceleration,0.32
10/7/2023,dynamic,agility,deceleration,0.867
18/07/2023,isometric,jump,take off,
20/07/2023,dynamic,upper body,pull,0.8525
30/07/2023,isometric,upper body,grapple,
31/07/2023,isometric,jump,land,
11/8/2023,isometric,sprint,acceleration,
18/08/2023,dynamic,agility,deceleration,0.868
25/08/2023,dynamic,upper body,push,0.4
31/08/2023,isometric,upper body,pull,
1/9/2023,dynamic,jump,take off,0.6985
5/9/2023,isometric,agility,rotate,
7/9/2023,dynamic,jump,take off,0.7085
11/9/2023,dynamic,upper body,push,0.388
13/09/2023,isometric,upper body,grapple,
14/09/2023,isometric,agility,acceleration,0.52
20/09/2023,dynamic,sprint,max velocity,0.5845
24/09/2023,isometric,agility,rotate,
28/09/2023,dynamic,agility,acceleration,0.4305
28/09/2023,isometric,sprint,max velocity,
29/09/2023,isometric,upper body,pull,
18/10/2023,isometric,agility,deceleration,1.038
22/10/2023,dynamic,jump,land,0.6615
10/11/2023,isometric,jump,take off,
12/11/2023,isometric,jump,take off,
13/11/2023,dynamic,jump,take off,0.651
18/11/2023,dynamic,jump,pre-load,0.5085
18/11/2023,isometric,upper body,grapple,
20/11/2023,isometric,agility,deceleration,1.038
27/11/2023,dynamic,sprint,acceleration,0.4305
28/11/2023,isometric,sprint,acceleration,0.52
3/12/2023,isometric,upper body,pull,
6/12/2023,dynamic,jump,take off,0.64
10/12/2023,dynamic,agility,deceleration,0.87
10/12/2023,isometric,sprint,acceleration,0.52
16/12/2023,dynamic,jump,take off,0.6355
20/12/2023,dynamic,upper body,push,0.43
22/12/2023,dynamic,upper body,pull,0.87
25/12/2023,dynamic,sprint,max velocity,0.634
26/12/2023,dynamic,agility,deceleration,0.87
28/12/2023,dynamic,jump,take off,0.64
2/1/2024,isometric,sprint,max velocity,
4/1/2024,isometric,agility,rotate,
9/1/2024,dynamic,jump,land,0.69
26/01/2024,dynamic,jump,land,0.668
29/01/2024,isometric,upper body,pull,
31/01/2024,isometric,sprint,max velocity,
