date,opposition_code,opposition_full,md_plus_code,md_minus_code,season,distance,distance_over_21,distance_over_24,distance_over_27,accel_decel_over_2_5,accel_decel_over_3_5,accel_decel_over_4_5,day_duration,peak_speed,hr_zone_1_hms,hr_zone_2_hms,hr_zone_3_hms,hr_zone_4_hms,hr_zone_5_hms,high_speed_total,accel_total,distance_norm,high_speed_norm,accel_norm,peak_speed_norm
2/8/2022,,,10,-4,2022/2023,4524.085076,89.27853044,85.69031816,61.6343353,119.1081009,32.63692816,8.557442749,76.24236931,30.7559,0:03:40,0:17:29,0:19:20,0:11:23,0:00:02,236.6031839,160.30247180899997,28.90188839240984,13.170170367361347,32.83988698440289,93.37796399186327
3/8/2022,,,10,-3,2022/2023,5264.645855,245.861691,91.34814267,20.21058834,45.97401948,6.309729836,3.095989752,65.21783048,28.67495,0:06:44,0:16:40,0:15:35,0:06:08,0:00:01,357.42042201000004,55.379739068000006,33.63292342444293,19.895285317189217,11.345204797501662,87.05999332058173
4/8/2022,,,10,-2,2022/2023,6886.542272,199.1802595,84.63473481,22.58547047,97.48851155,24.40018007,3.82586928,105.139759,29.2172,0:17:29,0:37:09,0:23:49,0:06:30,0:00:02,306.40046478,125.71456090000001,43.994326545895504,17.055333978501462,25.754137947223143,88.70631812247625
5/8/2022,,,10,-1,2022/2023,2622.552016,68.3893209,11.795402,6.360193345,43.75026526,14.64292521,2.189601741,64.58843385,28.703,0:07:34,0:15:51,0:07:31,0:01:51,0:00:00,86.544916245,60.582792211,16.754040738937118,4.817396252188256,12.411112735549871,87.14515590369494
6/8/2022,EVE,Everton,0,0,2022/2023,5654.028319,447.0905452,164.5766708,82.74642973,122.5681273,49.74844568,22.20173654,46.04835304,30.29811976,0:01:09,0:01:04,0:11:34,0:13:15,0:02:30,694.4136457300001,194.51830952,36.12047357600633,38.653520501862566,39.849412357441,91.98809776239489
7/8/2022,,,1,-7,2022/2023,7379.419445,230.4563784,76.86554786,36.82659852,127.8810687,41.20852149,13.27639123,116.656904,30.8216,0:15:52,0:32:25,0:16:39,0:05:43,0:00:04,344.14852478,182.36598142,47.14304740456852,19.156524558622724,37.35986196624748,93.57743571059903
8/8/2022,,,2,-6,2022/2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0.0,0.0,0.0,0.0,0.0,0.0
9/8/2022,,,3,-5,2022/2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0.0,0.0,0.0,0.0,0.0,0.0
10/8/2022,,,4,-4,2022/2023,6388.152035,461.7284954,209.4731691,76.4638338,120.4362528,49.55272992,16.95432555,94.99376919,31.51548,0:09:10,0:22:24,0:23:57,0:10:30,0:00:10,747.6654983,186.94330827,40.810385757059485,41.61770703208663,38.29758235663408,95.68412423718009
11/8/2022,,,5,-3,2022/2023,3727.993084,181.5062074,66.49044126,20.46043373,103.3060547,50.74886844,15.71521045,60.25599587,28.85883,0:05:06,0:14:19,0:13:49,0:10:07,0:00:09,268.45708239,169.77013359,23.81609501842263,14.943271063061387,34.77945123058026,87.6182712451043
12/8/2022,,,6,-2,2022/2023,4205.273933,88.71367593,33.48532178,26.5021093,79.64664508,20.82291587,4.826601397,63.96877816,31.1003,0:04:49,0:17:28,0:16:26,0:06:26,0:00:02,148.70110701,105.296162347,26.86517955107447,8.27722975175454,21.571183727515542,94.42359656313569
13/08/2022,,,7,-1,2022/2023,2821.360564,66.08966944,0.0,2.315383909,78.2613081,22.64746273,5.648574727,54.75395802,26.7007,0:03:52,0:15:19,0:15:53,0:07:26,0:00:04,68.405053349,106.55734555699999,18.024119079469422,3.807667300772836,21.829552258054324,81.06597443604457
14/08/2022,TOT,Tottenham Hotspur,0,0,2022/2023,10190.6242,407.1498307,202.1915331,95.73328361,193.1465208,73.31027854,22.63945216,96.40421297,32.322,0:06:47,0:19:45,0:12:49,0:11:21,0:00:12,705.0746474099999,289.0962515,65.10228661256741,39.246949576222214,59.22483989009515,98.13279897987067
15/08/2022,,,1,-6,2022/2023,3507.646465,0.0,18.95385211,9.431943018,120.7586697,36.30362083,10.02728819,62.97166806,28.2309,0:05:20,0:12:52,0:17:30,0:10:21,0:00:31,28.385795127999998,167.08957872,22.40842180207066,1.580053791696992,34.23030736528055,85.71181346206394
