testDate,expression,movement,quality,benchmarkPct,benchmarkPct_norm
4/7/2023,dynamic,agility,acceleration,0.32,38.575667655786354
10/7/2023,dynamic,agility,deceleration,0.867,79.15430267062314
20/07/2023,dynamic,upper body,pull,0.8525,78.0786350148368
18/08/2023,dynamic,agility,deceleration,0.868,79.22848664688429
25/08/2023,dynamic,upper body,push,0.4,44.51038575667657
1/9/2023,dynamic,jump,take off,0.6985,66.65430267062315
7/9/2023,dynamic,jump,take off,0.7085,67.39614243323443
11/9/2023,dynamic,upper body,push,0.388,43.62017804154304
14/09/2023,isometric,agility,acceleration,0.52,53.41246290801187
28/09/2023,dynamic,agility,acceleration,0.4305,46.77299703264096
18/10/2023,isometric,agility,deceleration,1.038,91.83976261127597
22/10/2023,dynamic,jump,land,0.6615,63.909495548961424
13/11/2023,dynamic,jump,take off,0.651,63.13056379821958
18/11/2023,dynamic,jump,pre-load,0.5085,52.559347181008896
20/11/2023,isometric,agility,deceleration,1.038,91.83976261127597
6/12/2023,dynamic,jump,take off,0.64,62.31454005934719
10/12/2023,dynamic,agility,deceleration,0.87,79.37685459940654
16/12/2023,dynamic,jump,take off,0.6355,61.980712166172104
20/12/2023,dynamic,upper body,push,0.43,46.73590504451039
22/12/2023,dynamic,upper body,pull,0.87,79.37685459940654
26/12/2023,dynamic,agility,deceleration,0.87,79.37685459940654
28/12/2023,dynamic,jump,take off,0.64,62.31454005934719
9/1/2024,dynamic,jump,land,0.69,66.02373887240356
26/01/2024,dynamic,jump,land,0.668,64.39169139465876
4/2/2024,dynamic,jump,pre-load,0.53,54.154302670623146
17/02/2024,dynamic,upper body,push,0.4345,47.06973293768547
12/3/2024,dynamic,jump,pre-load,0.5,51.92878338278932
13/03/2024,dynamic,agility,deceleration,0.89,80.8605341246291
15/03/2024,isometric,upper body,push,0.704,67.06231454005935
17/03/2024,isometric,jump,pre-load,0.52,53.41246290801187
30/03/2024,dynamic,agility,acceleration,0.44,47.47774480712167
14/04/2024,isometric,jump,pre-load,0.52,53.41246290801187
16/04/2024,isometric,agility,deceleration,1.1365,99.14688427299706
19/04/2024,isometric,agility,acceleration,0.52,53.41246290801187
19/04/2024,dynamic,agility,deceleration,0.89,80.8605341246291
8/5/2024,dynamic,upper body,push,0.43,46.73590504451039
26/05/2024,dynamic,jump,pre-load,0.4655,49.36943620178042
14/06/2024,isometric,agility,acceleration,0.49,51.18694362017804
15/06/2024,dynamic,jump,land,0.723,68.47181008902078
17/06/2024,dynamic,jump,land,0.723,68.47181008902078
17/06/2024,dynamic,upper body,push,0.43,46.73590504451039
28/06/2024,dynamic,jump,pre-load,0.4655,49.36943620178042
30/06/2024,dynamic,agility,deceleration,0.89,80.8605341246291
8/7/2024,dynamic,jump,take off,0.687,65.80118694362018
12/7/2024,isometric,jump,land,0.42,45.99406528189912
13/08/2024,dynamic,jump,land,0.652,63.20474777448073
23/08/2024,dynamic,upper body,pull,0.855,78.26409495548961
31/08/2024,dynamic,agility,acceleration,0.428,46.58753709198813
23/09/2024,dynamic,agility,deceleration,0.896,81.30563798219586
5/10/2024,isometric,jump,take off,0.426,46.43916913946588
9/10/2024,dynamic,agility,acceleration,0.498,51.78041543026707
24/10/2024,isometric,jump,pre-load,0.6935,66.28338278931751
2/11/2024,isometric,agility,acceleration,0.677,65.0593471810089
13/11/2024,dynamic,jump,land,0.666,64.24332344213651
13/11/2024,isometric,upper body,push,0.936,84.27299703264096
23/11/2024,isometric,upper body,push,0.936,84.27299703264096
2/12/2024,isometric,agility,deceleration,0.8655,79.04302670623147
17/12/2024,isometric,jump,take off,0.4,44.51038575667657
29/12/2024,dynamic,upper body,push,0.498,51.78041543026707
4/1/2025,isometric,upper body,grapple,0.6705,64.57715133531158
13/01/2025,isometric,agility,rotate,0.6675,64.3545994065282
21/01/2025,dynamic,jump,land,0.7465,70.21513353115728
22/01/2025,isometric,jump,land,0.46,48.96142433234422
23/01/2025,dynamic,jump,pre-load,0.53,54.154302670623146
6/2/2025,isometric,agility,rotate,0.6415,62.42581602373887
18/02/2025,dynamic,jump,land,0.745,70.1038575667656
23/02/2025,dynamic,upper body,pull,0.87,79.37685459940654
26/02/2025,dynamic,jump,land,0.745,70.1038575667656
26/02/2025,isometric,agility,rotate,0.6385,62.2032640949555
28/02/2025,isometric,jump,take off,0.3955,44.17655786350149
8/3/2025,dynamic,agility,deceleration,0.88,80.11869436201782
25/07/2023,dynamic,upper body,push,0.345,40.43026706231454
2/8/2023,isometric,agility,deceleration,0.781,72.7744807121662
8/8/2023,dynamic,upper body,push,0.37,42.28486646884274
12/8/2023,dynamic,jump,take off,0.7335,69.25074183976263
19/08/2023,dynamic,upper body,pull,0.87,79.37685459940654
16/09/2023,isometric,agility,acceleration,0.52,53.41246290801187
5/10/2023,dynamic,agility,acceleration,0.4305,46.77299703264096
16/10/2023,dynamic,jump,take off,0.72,68.24925816023739
19/10/2023,dynamic,jump,take off,0.72,68.24925816023739
21/10/2023,dynamic,jump,pre-load,0.564,56.676557863501486
9/11/2023,dynamic,upper body,push,0.431,46.810089020771514
25/11/2023,dynamic,upper body,push,0.4305,46.77299703264096
5/12/2023,isometric,jump,pre-load,0.52,53.41246290801187
27/12/2023,isometric,jump,pre-load,0.52,53.41246290801187
8/1/2024,dynamic,upper body,push,0.426,46.43916913946588
16/01/2024,dynamic,agility,deceleration,0.879,80.04451038575668
20/01/2024,isometric,upper body,push,0.687,65.80118694362018
28/01/2024,dynamic,agility,deceleration,0.879,80.04451038575668
8/2/2024,dynamic,jump,pre-load,0.53,54.154302670623146
9/2/2024,dynamic,upper body,push,0.4345,47.06973293768547
11/2/2024,dynamic,upper body,push,0.4345,47.06973293768547
11/2/2024,isometric,agility,acceleration,0.52,53.41246290801187
20/02/2024,isometric,agility,acceleration,0.52,53.41246290801187
21/02/2024,dynamic,upper body,pull,0.89,80.8605341246291
3/3/2024,dynamic,agility,deceleration,0.89,80.8605341246291
14/03/2024,dynamic,jump,take off,0.6525,63.241839762611285
19/03/2024,dynamic,jump,land,0.668,64.39169139465876
30/03/2024,isometric,jump,pre-load,0.52,53.41246290801187
31/03/2024,dynamic,jump,land,0.6625,63.983679525222556
12/4/2024,isometric,upper body,push,0.704,67.06231454005935
5/5/2024,isometric,agility,acceleration,0.52,53.41246290801187
18/05/2024,dynamic,upper body,push,0.43,46.73590504451039
23/06/2024,isometric,agility,deceleration,1.1365,99.14688427299706
30/06/2024,dynamic,jump,pre-load,0.4655,49.36943620178042
21/07/2024,dynamic,upper body,push,0.488,51.038575667655785
6/8/2024,isometric,upper body,push,0.96,86.05341246290801
12/8/2024,dynamic,jump,land,0.652,63.20474777448073
14/08/2024,dynamic,upper body,push,0.428,46.58753709198813
29/08/2024,isometric,jump,pre-load,0.731,69.06528189910979
2/9/2024,dynamic,jump,land,0.641,62.38872403560831
5/9/2024,isometric,jump,pre-load,0.7275,68.80563798219586
24/09/2024,dynamic,upper body,push,0.494,51.483679525222556
25/09/2024,dynamic,upper body,pull,0.896,81.30563798219586
8/10/2024,dynamic,jump,land,0.65,63.05637982195847
22/10/2024,dynamic,jump,take off,0.7165,67.98961424332346
4/11/2024,dynamic,agility,deceleration,0.88,80.11869436201782
10/11/2024,dynamic,jump,land,0.666,64.24332344213651
19/11/2024,dynamic,jump,land,0.666,64.24332344213651
29/11/2024,isometric,agility,acceleration,0.79,73.44213649851633
2/12/2024,isometric,jump,pre-load,0.796,73.8872403560831
3/12/2024,dynamic,jump,land,0.728,68.84272997032642
12/12/2024,dynamic,jump,land,0.728,68.84272997032642
13/12/2024,isometric,jump,land,0.4,44.51038575667657
13/12/2024,dynamic,jump,pre-load,0.557,56.1572700296736
20/12/2024,isometric,agility,rotate,0.68,65.28189910979229
28/12/2024,dynamic,agility,deceleration,0.876,79.8219584569733
2/1/2025,isometric,agility,deceleration,0.9155,82.75222551928783
19/01/2025,dynamic,jump,take off,0.67,64.54005934718103
20/01/2025,dynamic,jump,take off,0.67,64.54005934718103
20/01/2025,dynamic,upper body,push,0.5,51.92878338278932
21/01/2025,isometric,agility,rotate,0.6675,64.3545994065282
25/01/2025,dynamic,agility,deceleration,0.853,78.11572700296736
31/01/2025,dynamic,upper body,push,0.4965,51.66913946587538
4/2/2025,dynamic,agility,deceleration,0.873,79.59940652818992
13/02/2025,isometric,upper body,pull,0.805,74.55489614243325
13/02/2025,isometric,agility,rotate,0.6415,62.42581602373887
23/02/2025,isometric,upper body,grapple,0.6385,62.2032640949555
2/3/2025,dynamic,agility,deceleration,0.87,79.37685459940654
6/3/2025,dynamic,agility,deceleration,0.88,80.11869436201782
4/8/2023,dynamic,jump,take off,0.7365,69.473293768546
13/08/2023,dynamic,jump,pre-load,0.6175,60.64540059347182
30/08/2023,isometric,jump,pre-load,0.52,53.41246290801187
1/9/2023,dynamic,upper body,push,0.3945,44.10237388724036
29/09/2023,dynamic,jump,land,0.69,66.02373887240356
26/10/2023,dynamic,jump,land,0.6615,63.909495548961424
16/11/2023,dynamic,agility,acceleration,0.43,46.73590504451039
20/12/2023,dynamic,jump,land,0.674,64.83679525222553
23/12/2023,isometric,agility,deceleration,1.112,97.32937685459943
25/01/2024,dynamic,upper body,push,0.4345,47.06973293768547
8/2/2024,dynamic,upper body,pull,0.89,80.8605341246291
24/02/2024,isometric,jump,pre-load,0.52,53.41246290801187
29/02/2024,dynamic,upper body,push,0.4445,47.81157270029674
12/3/2024,isometric,agility,deceleration,1.138,99.25816023738872
13/03/2024,isometric,jump,pre-load,0.52,53.41246290801187
7/4/2024,dynamic,jump,pre-load,0.521,53.486646884273
13/04/2024,dynamic,agility,acceleration,0.43,46.73590504451039
20/04/2024,dynamic,jump,take off,0.64,62.31454005934719
6/5/2024,dynamic,agility,acceleration,0.43,46.73590504451039
10/5/2024,dynamic,agility,acceleration,0.43,46.73590504451039
13/05/2024,isometric,agility,deceleration,1.1365,99.14688427299706
11/6/2024,isometric,agility,acceleration,0.49,51.18694362017804
23/06/2024,isometric,upper body,push,0.704,67.06231454005935
30/06/2024,dynamic,jump,take off,0.639,62.240356083086056
13/07/2024,isometric,jump,land,0.4125,45.43768545994066
13/07/2024,dynamic,jump,pre-load,0.5175,53.22700296735906
19/07/2024,isometric,upper body,grapple,0.278,35.459940652819
20/07/2024,isometric,jump,take off,0.3975,44.32492581602375
9/8/2024,isometric,jump,take off,0.363,41.76557863501484
23/08/2024,dynamic,agility,deceleration,0.855,78.26409495548961
