sessionDate,recovery_score
1/1/2024,
1/1/2025,
1/10/2023,54.882545449512
1/10/2024,56.19442506603943
1/11/2023,
1/11/2024,50.70168523556634
1/12/2023,49.49993029133865
1/12/2024,
1/2/2024,
1/2/2025,49.81070663398368
1/3/2024,57.40423434980092
1/3/2025,49.394763895342436
1/4/2024,39.081873502939466
1/5/2024,42.35563045545523
1/6/2024,
1/7/2024,
1/8/2023,47.64526771720132
1/8/2024,40.090988037185966
1/9/2023,50.67824855401484
1/9/2024,
10/1/2024,
10/1/2025,58.59239936382164
10/10/2023,63.76006113372196
10/10/2024,58.4129924558527
10/11/2023,54.882545449512
10/11/2024,
10/12/2023,
10/12/2024,
10/2/2024,56.02121994363361
10/2/2025,
10/3/2024,65.30870515151008
10/3/2025,
10/4/2024,45.41125514210914
10/5/2024,48.90064751643877
10/6/2024,
10/7/2023,64.41624431408285
10/7/2024,40.15485034525632
10/8/2023,64.5778324139988
10/8/2024,50.35811315035943
10/9/2023,
10/9/2024,53.28562284547707
11/1/2024,45.0842623308848
11/1/2025,
11/10/2023,54.882545449512
11/10/2024,
11/11/2023,51.40105603072329
11/11/2024,
11/12/2023,
11/12/2024,43.451778352474356
11/2/2024,57.45220199626669
11/2/2025,46.80641242103581
11/3/2024,
11/3/2025,46.824202523243855
11/4/2024,50.81978298899095
11/5/2024,
11/6/2024,
11/7/2023,54.882545449512
11/7/2024,53.054898686421566
11/8/2023,46.880097012877506
11/8/2024,
11/9/2023,87.03557467084036
11/9/2024,
12/1/2024,48.91684509451249
12/1/2025,57.48074545405534
12/10/2023,55.27768444948928
12/10/2024,
12/11/2023,
12/11/2024,
12/12/2023,51.29274395560671
12/12/2024,54.44960215126685
12/2/2024,
12/2/2025,47.70551505542383
12/3/2024,
12/3/2025,50.499059818617106
12/4/2024,41.17607450159606
12/5/2024,
12/6/2024,
12/7/2023,61.807750431070644
12/7/2024,49.623408139943656
12/8/2023,39.80654985828906
12/8/2024,
12/9/2023,69.05995058571195
12/9/2024,57.03164947334245
13/01/2024,
13/01/2025,54.98952214722951
13/02/2024,
13/02/2025,57.817917270548456
13/03/2024,63.73000872105458
13/03/2025,38.49068874652804
13/04/2024,49.399349474962676
13/05/2024,49.943253089149785
13/06/2024,
13/07/2023,54.882545449512
13/07/2024,52.56003430526401
13/08/2023,
13/08/2024,50.8524284814329
13/09/2023,52.51661826072766
13/09/2024,59.82262074356238
13/10/2023,
13/10/2024,
13/11/2023,
13/11/2024,
13/12/2023,56.61609812798637
13/12/2024,51.55656282201627
14/01/2024,
14/01/2025,
14/02/2024,43.87712572423778
14/02/2025,
14/03/2024,52.76174957657511
14/04/2024,44.53786238837415
14/05/2024,36.78262112403307
14/06/2024,
14/07/2023,56.579220668297204
14/07/2024,
14/08/2023,
14/08/2024,52.3242205914153
14/09/2023,50.67824855401484
14/09/2024,
14/10/2023,
14/10/2024,40.45914914343799
14/11/2023,52.160902907413735
14/11/2024,
14/12/2023,61.9324864542221
14/12/2024,57.22274829459502
15/01/2024,57.15959003973085
15/01/2025,41.798934184422976
15/02/2024,57.922852803513926
15/02/2025,
15/03/2024,62.315805884717335
15/04/2024,
15/05/2024,
15/06/2024,
15/07/2023,50.09549751079663
15/07/2024,56.38675185544474
15/08/2023,45.915639075138834
15/08/2024,
15/09/2023,50.414708547099224
15/09/2024,
15/10/2023,
15/10/2024,57.8449872149359
15/11/2023,49.34109577746036
15/11/2024,
15/12/2023,53.679262958313416
15/12/2024,
16/01/2024,
16/01/2025,27.57166933773691
16/02/2024,64.63274770386977
16/02/2025,
16/03/2024,60.186445858835775
16/04/2024,
16/05/2024,
16/06/2024,
16/07/2023,
16/07/2024,51.52399405577814
16/08/2023,50.218736625036655
16/08/2024,59.343760808140274
16/09/2023,57.60969602940592
16/09/2024,39.4065976739908
16/10/2023,64.5778324139988
16/10/2024,
16/11/2023,67.0016541551205
16/11/2024,
16/12/2023,
16/12/2024,
17/01/2024,56.145168379032654
17/01/2025,47.16587140055433
17/02/2024,
17/02/2025,53.51825397625647
17/03/2024,
17/04/2024,41.728808972832454
17/05/2024,46.8547014273917
17/06/2024,
17/07/2023,54.882545449512
17/07/2024,43.818507348840036
17/08/2023,40.41026099510436
17/08/2024,58.96299653194248
17/09/2023,
17/09/2024,49.78460938129739
17/10/2023,62.26474705312706
17/10/2024,51.43142843071442
17/11/2023,
17/11/2024,
17/12/2023,50.15828982348839
17/12/2024,45.986583981039495
18/01/2024,54.15632518823554
18/01/2025,48.51458379194122
18/02/2024,
18/02/2025,50.23908865596996
18/03/2024,
18/04/2024,30.99969904081879
18/05/2024,51.4479321629793
18/06/2024,
18/07/2023,55.591276881096896
18/07/2024,47.23775868331493
18/08/2023,48.95764787087594
18/08/2024,
18/09/2023,
18/09/2024,
18/10/2023,50.98073887135076
18/10/2024,56.077185652722875
18/11/2023,
18/11/2024,54.87226870626107
18/12/2023,55.896486158856476
18/12/2024,55.66655368326141
19/01/2024,52.03850235561998
19/01/2025,49.01117672994969
19/02/2024,
19/02/2025,
19/03/2024,51.590421829277474
19/04/2024,60.874907463700566
19/05/2024,
19/06/2024,
19/07/2023,50.67824855401484
19/07/2024,55.40189067675874
19/08/2023,55.14540908706957
19/08/2024,
19/09/2023,50.63275925065407
19/09/2024,56.65141346775527
19/10/2023,55.701373062502434
19/10/2024,59.82982097564006
19/11/2023,
19/11/2024,52.66388574225362
19/12/2023,
19/12/2024,
2/1/2024,43.929723848782096
2/1/2025,50.314717311216725
2/10/2023,
2/10/2024,55.252556761239696
2/11/2023,
2/11/2024,51.79892923909715
2/12/2023,59.7301889317554
2/12/2024,50.026862087553084
2/2/2024,40.496075645419076
2/2/2025,47.96317242376896
2/3/2024,
2/3/2025,
2/4/2024,55.10299903079083
2/5/2024,
2/6/2024,
2/7/2023,
2/7/2024,
2/8/2023,34.26551274335799
2/8/2024,58.30324054416118
2/9/2023,
2/9/2024,
20/01/2024,43.67413566827417
20/01/2025,
20/02/2024,57.19521162148157
20/02/2025,46.41225448778623
20/03/2024,54.722884095570954
20/04/2024,
20/05/2024,
20/06/2024,
20/07/2023,53.73618507618185
20/07/2024,51.54895656762372
20/08/2023,
20/08/2024,49.4076806939768
20/09/2023,54.16344290852259
20/09/2024,53.907167583851006
20/10/2023,55.90929087443336
20/10/2024,
20/11/2023,54.882545449512
20/11/2024,
20/12/2023,
20/12/2024,55.54558427950144
21/01/2024,36.73842632721402
21/01/2025,36.163250199627555
21/02/2024,61.73799575743576
21/02/2025,49.49819972286039
21/03/2024,65.84409826204454
21/04/2024,31.515355421049303
21/05/2024,
21/06/2024,
21/07/2023,53.43725878060289
21/07/2024,
21/08/2023,
21/08/2024,50.19906876784806
21/09/2023,56.826597874889764
21/09/2024,
21/10/2023,
21/10/2024,
21/11/2023,63.47208278345136
21/11/2024,58.47987953407901
21/12/2023,43.364259133369224
21/12/2024,51.13338653791354
22/01/2024,58.75582106198956
22/01/2025,
22/02/2024,57.779772016334874
22/02/2025,44.08579217794719
22/03/2024,
22/04/2024,46.862289765764416
22/05/2024,
22/06/2024,
22/07/2023,50.67824855401484
22/07/2024,57.46955362063122
22/08/2023,56.883981806660096
22/08/2024,
22/09/2023,57.16494933886603
22/09/2024,37.600650806395876
22/10/2023,
22/10/2024,47.80326920170301
22/11/2023,59.94345401820963
22/11/2024,41.573869980299634
22/12/2023,51.21900304632512
22/12/2024,
23/01/2024,
23/01/2025,46.20064715008088
23/02/2024,61.1892111719221
23/02/2025,28.76335801938453
23/03/2024,
23/04/2024,
23/05/2024,
23/06/2024,
23/07/2023,
23/07/2024,49.85992228685054
23/08/2023,60.25234445568377
23/08/2024,44.769392228257544
23/09/2023,57.16494933886603
23/09/2024,39.57313519650493
23/10/2023,48.6980743567644
23/10/2024,51.918228837630906
23/11/2023,56.80624713274028
23/11/2024,43.25800846972853
23/12/2023,54.55081085820123
23/12/2024,
24/01/2024,42.98890531254146
24/01/2025,53.69091939314265
24/02/2024,69.23303055144922
24/02/2025,47.382792905633465
24/03/2024,
24/04/2024,
24/05/2024,
24/06/2024,
24/07/2023,50.67824855401484
24/07/2024,47.491970924438874
24/08/2023,50.67824855401484
24/08/2024,56.41469188403809
24/09/2023,
24/09/2024,54.50582418113229
24/10/2023,55.1142819579865
24/10/2024,
24/11/2023,57.227843268075645
24/11/2024,
24/12/2023,
24/12/2024,49.764725409415526
25/01/2024,56.05251470379652
25/01/2025,
25/02/2024,
25/02/2025,
25/03/2024,100.0
25/04/2024,35.36896731475983
25/05/2024,
25/06/2024,
25/07/2023,54.882545449512
25/07/2024,49.60120548620763
25/08/2023,
25/08/2024,
25/09/2023,47.199238609488454
25/09/2024,
25/10/2023,55.73088305890459
25/10/2024,42.899525971336985
25/11/2023,
25/11/2024,
25/12/2023,37.86742857012844
25/12/2024,54.52738638478798
26/01/2024,
26/01/2025,
26/02/2024,34.80123724895649
26/02/2025,50.48328541139264
26/03/2024,63.880468051553294
26/04/2024,19.492657865619936
26/05/2024,
26/06/2024,
26/07/2023,53.42825240483898
26/07/2024,55.39768302310868
26/08/2023,50.346086966039785
26/08/2024,
26/09/2023,45.219205361873826
26/09/2024,52.006863111697974
26/10/2023,59.28949407414023
26/10/2024,52.59690775003926
26/11/2023,
26/11/2024,38.35001814142008
26/12/2023,46.08936960302763
26/12/2024,
27/01/2024,42.639506387327174
27/01/2025,
27/02/2024,56.03922356745765
27/02/2025,42.98848497469239
27/03/2024,46.59044987106881
27/04/2024,
27/05/2024,
27/06/2024,
27/07/2023,54.44689293150389
27/07/2024,50.84197450935404
27/08/2023,
27/08/2024,55.72386203401268
27/09/2023,
27/09/2024,58.440507664129136
27/10/2023,57.433936758507286
27/10/2024,
27/11/2023,
27/11/2024,45.79128657848037
27/12/2023,
27/12/2024,
28/01/2024,
28/01/2025,
28/02/2024,
28/02/2025,50.351202374721574
28/03/2024,44.486246417276185
28/04/2024,
28/05/2024,
28/06/2024,
28/07/2023,42.47188064868641
28/07/2024,
28/08/2023,42.47188064868641
28/08/2024,45.923242837765194
28/09/2023,54.882545449512
28/09/2024,
28/10/2023,
28/10/2024,37.98772500480251
28/11/2023,51.70762127152201
28/11/2024,
28/12/2023,24.24606380087998
28/12/2024,54.3054139931202
29/01/2024,50.58179979775744
29/01/2025,56.16723195216608
29/02/2024,49.82828854954886
29/03/2024,48.85476906969296
29/04/2024,53.19087962894706
29/05/2024,
29/06/2024,
29/07/2023,40.49819724130369
29/07/2024,50.493893247840084
29/08/2023,63.8072283272485
29/08/2024,58.450887117827826
29/09/2023,43.88661589287378
29/09/2024,
29/10/2023,
29/10/2024,54.20835903734572
29/11/2023,54.93640814948399
29/11/2024,39.24238600485142
29/12/2023,46.323968958220526
29/12/2024,55.92666561180356
3/1/2024,45.054239936956634
3/1/2025,51.42909348783551
3/10/2023,
3/10/2024,
3/11/2023,57.648270522610574
3/11/2024,
3/12/2023,
3/12/2024,58.58049246249756
3/2/2024,51.84691325284008
3/2/2025,
3/3/2024,
3/3/2025,50.66416276052515
3/4/2024,52.32125361547124
3/5/2024,38.7849878076551
3/6/2024,
3/7/2023,
