date,match_score,recovery_score,training_score,LBES,risk_level,match_score_prev,recovery_score_prev,training_score_prev,LBES_3day_avg,LBES_5day_avg,recovery_3day_avg,training_3day_std,LBES_change,recovery_slope,risk_label
9/8/2023,36.67829411,51.91257148,63.18991098,51.28935709,Caution,28.55051783,46.6335571,65.36071958,49.70048138,50.53113193,51.22844682,1.25331693,3.5262049,-3.2266404,0
9/10/2023,22.41521652,50.45316959,63.18991098,46.49964315,High Risk,36.67829411,51.91257148,63.18991098,48.51738414,49.55011172,49.66643272,1.25331693,-4.78971394,3.81961249,1
9/11/2023,36.08015993,61.39248558,63.18991098,54.42788677,Caution,22.41521652,50.45316959,63.18991098,50.73896234,50.00579481,54.58607555,0,7.92824362,9.4799141,0
9/12/2023,33.35063883,59.35462506,63.18991098,52.89577926,Caution,36.08015993,61.39248558,63.18991098,51.27443639,50.57516369,57.06676008,0,-1.53210751,8.90145547,0
10/8/2023,43.683338,64.57783241,63.70919881,58.00546233,Acceptable,33.35063883,59.35462506,63.18991098,55.10970945,52.62362572,61.77498102,0.299810968,5.10968307,3.18534683,0
10/10/2023,31.6668287,63.76006113,64.17655786,54.27786526,Caution,43.683338,64.57783241,63.70919881,55.05970228,53.22132735,62.56417287,0.493551145,-3.72759707,4.40543607,0
10/11/2023,27.06797345,54.88254545,64.17655786,49.79107819,High Risk,31.6668287,63.76006113,64.17655786,54.02480193,53.87961436,61.07347966,0.269829873,-4.48678707,-9.69528696,1
11/8/2023,30.59767746,46.88009701,63.32613974,47.7514861,High Risk,27.06797345,54.88254545,64.17655786,50.60680985,52.54433423,55.17423453,0.490989131,-2.03959209,-16.87996412,1
11/9/2023,31.97862362,87.03557467,63.4239277,62.25441292,Optimal,30.59767746,46.88009701,63.32613974,53.26565907,54.41606096,62.93273904,0.465336012,14.50292682,32.15302922,0
11/10/2023,36.92418074,54.88254545,63.31602374,52.44675344,Caution,31.97862362,87.03557467,63.4239277,54.15088415,53.30431918,62.93273904,0.059593181,-9.80765948,8.00244844,0
11/11/2023,31.0242025,51.40105603,63.31602374,49.45823867,High Risk,36.92418074,54.88254545,63.31602374,54.71980168,52.34039386,64.43972538,0.06229838,-2.98851477,-35.63451864,1
12/8/2023,25.99167391,39.80654986,63.1103318,43.81841075,High Risk,31.0242025,51.40105603,63.31602374,48.57446762,51.14586038,48.69671711,0.118756297,-5.63982792,-15.07599559,1
12/9/2023,49.69074238,69.05995059,63.1103318,61.16682155,Optimal,25.99167391,39.80654986,63.1103318,51.48115699,53.82892747,53.42251883,0.118756297,17.3484108,17.65889456,0
12/10/2023,43.82941911,55.27768445,63.1103318,54.58463142,Caution,49.69074238,69.05995059,63.1103318,53.18995457,52.29497117,54.7147283,0,-6.58219013,15.47113459,0
12/12/2023,50.88318843,51.29274396,63.05300782,55.28596965,Acceptable,43.82941911,55.27768445,63.1103318,57.01247421,52.86281441,58.54345967,0.033096015,0.70133823,-17.76720663,0
1/3/2024,36.76164864,57.40423435,63.4340437,53.32189191,Caution,50.88318843,51.29274396,63.05300782,54.39749766,53.63554506,54.65822092,0.205452255,-1.96407774,2.1265499,0
1/4/2024,34.51268356,39.0818735,63.4340437,46.23437609,High Risk,36.76164864,57.40423435,63.4340437,51.61407922,54.11873812,49.25961727,0.219991168,-7.08751582,-12.21087046,1
1/5/2024,38.3623414,42.35563046,63.4340437,48.53508837,High Risk,34.51268356,39.0818735,63.4340437,49.36378546,51.59239149,46.28057944,0,2.30071228,-15.04860389,1
1/8/2024,41.94207455,40.09098804,64.01402752,49.01937781,High Risk,38.3623414,42.35563046,63.4340437,47.92961409,50.47934077,40.50949733,0.334853815,0.48428944,1.00911454,1
1/10/2024,40.12844294,56.19442507,64.0477475,54.12329328,Caution,41.94207455,40.09098804,64.01402752,50.55925315,50.24680549,46.21368119,0.34500015,5.10391547,13.83879461,0
1/11/2024,38.27095281,50.70168524,64.04100351,51.6412269,Caution,40.12844294,56.19442507,64.0477475,51.59463266,49.91067249,48.99569945,0.017842937,-2.48206638,10.6106972,0
2/1/2024,47.56777369,43.92972385,65.10655517,52.43302976,Caution,38.27095281,50.70168524,64.04100351,52.73251665,51.15040322,50.27527805,0.613258986,0.79180286,-12.26470122,0
2/2/2024,37.61904225,40.49607565,65.24817912,48.29620184,High Risk,47.56777369,43.92972385,65.10655517,50.79015283,51.10262592,45.04249491,0.659890223,-4.13682792,-10.20560959,1
2/4/2024,40.38497866,55.10299903,65.24817912,54.23840595,Caution,37.61904225,40.49607565,65.24817912,51.65587918,52.14643155,46.50959951,0.081766626,5.94220411,11.17327518,0
2/8/2024,33.67669884,58.30324054,65.19422714,53.32712334,Caution,40.38497866,55.10299903,65.24817912,51.95391038,51.98719756,51.30077174,0.03114919,-0.91128261,17.80716489,0
